2020-11-03 23:31:28 status half-configured libsasl2-modules-db:armhf 2.1.27+dfsg-1+deb10u1
2020-11-03 23:31:28 status installed libsasl2-modules-db:armhf 2.1.27+dfsg-1+deb10u1
2020-11-03 23:31:28 configure libpcre3:armhf 2:8.39-12 <none>
2020-11-03 23:31:28 status unpacked libpcre3:armhf 2:8.39-12
2020-11-03 23:31:28 status half-configured libpcre3:armhf 2:8.39-12
2020-11-03 23:31:28 status installed libpcre3:armhf 2:8.39-12
2020-11-03 23:31:28 configure libcap-ng0:armhf 0.7.9-2 <none>
2020-11-03 23:31:28 status unpacked libcap-ng0:armhf 0.7.9-2
2020-11-03 23:31:28 status half-configured libcap-ng0:armhf 0.7.9-2
2020-11-03 23:31:28 status installed libcap-ng0:armhf 0.7.9-2
2020-11-03 23:31:28 configure libwrap0:armhf 7.6.q-28 <none>
2020-11-03 23:31:28 status unpacked libwrap0:armhf 7.6.q-28
2020-11-03 23:31:28 status half-configured libwrap0:armhf 7.6.q-28
2020-11-03 23:31:28 status installed libwrap0:armhf 7.6.q-28
2020-11-03 23:31:28 configure libidn11:armhf 1.33-2.2 <none>
2020-11-03 23:31:28 status unpacked libidn11:armhf 1.33-2.2
2020-11-03 23:31:28 status half-configured libidn11:armhf 1.33-2.2
2020-11-03 23:31:28 status installed libidn11:armhf 1.33-2.2
2020-11-03 23:31:28 configure libgmp10:armhf 2:6.1.2+dfsg-4 <none>
2020-11-03 23:31:28 status unpacked libgmp10:armhf 2:6.1.2+dfsg-4
2020-11-03 23:31:28 status half-configured libgmp10:armhf 2:6.1.2+dfsg-4
2020-11-03 23:31:28 status installed libgmp10:armhf 2:6.1.2+dfsg-4
2020-11-03 23:31:28 configure libncurses6:armhf 6.1+20181013-2+deb10u2 <none>
2020-11-03 23:31:28 status unpacked libncurses6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:28 status half-configured libncurses6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:28 status installed libncurses6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:28 configure libdbus-1-3:armhf 1.12.20-0+deb10u1 <none>
2020-11-03 23:31:28 status unpacked libdbus-1-3:armhf 1.12.20-0+deb10u1
2020-11-03 23:31:28 status half-configured libdbus-1-3:armhf 1.12.20-0+deb10u1
2020-11-03 23:31:28 status installed libdbus-1-3:armhf 1.12.20-0+deb10u1
2020-11-03 23:31:28 configure libp11-kit0:armhf 0.23.15-2 <none>
2020-11-03 23:31:28 status unpacked libp11-kit0:armhf 0.23.15-2
2020-11-03 23:31:28 status half-configured libp11-kit0:armhf 0.23.15-2
2020-11-03 23:31:28 status installed libp11-kit0:armhf 0.23.15-2
2020-11-03 23:31:28 configure libaudit1:armhf 1:2.8.4-3 <none>
2020-11-03 23:31:28 status unpacked libaudit1:armhf 1:2.8.4-3
2020-11-03 23:31:28 status half-configured libaudit1:armhf 1:2.8.4-3
2020-11-03 23:31:28 status installed libaudit1:armhf 1:2.8.4-3
2020-11-03 23:31:28 configure libuuid1:armhf 2.33.1-0.1 <none>
2020-11-03 23:31:28 status unpacked libuuid1:armhf 2.33.1-0.1
2020-11-03 23:31:28 status half-configured libuuid1:armhf 2.33.1-0.1
2020-11-03 23:31:28 status installed libuuid1:armhf 2.33.1-0.1
2020-11-03 23:31:28 configure libpcsclite1:armhf 1.8.24-1 <none>
2020-11-03 23:31:28 status unpacked libpcsclite1:armhf 1.8.24-1
2020-11-03 23:31:28 status half-configured libpcsclite1:armhf 1.8.24-1
2020-11-03 23:31:28 status installed libpcsclite1:armhf 1.8.24-1
2020-11-03 23:31:28 configure libncursesw6:armhf 6.1+20181013-2+deb10u2 <none>
2020-11-03 23:31:28 status unpacked libncursesw6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:28 status half-configured libncursesw6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:29 status installed libncursesw6:armhf 6.1+20181013-2+deb10u2
2020-11-03 23:31:29 configure libk5crypto3:armhf 1.17-3 <none>
2020-11-03 23:31:29 status unpacked libk5crypto3:armhf 1.17-3
2020-11-03 23:31:29 status half-configured libk5crypto3:armhf 1.17-3
2020-11-03 23:31:29 status installed libk5crypto3:armhf 1.17-3
2020-11-03 23:31:29 configure libnettle6:armhf 3.4.1-1 <none>
2020-11-03 23:31:29 status unpacked libnettle6:armhf 3.4.1-1
2020-11-03 23:31:29 status half-configured libnettle6:armhf 3.4.1-1
2020-11-03 23:31:29 status installed libnettle6:armhf 3.4.1-1
2020-11-03 23:31:29 configure libsasl2-2:armhf 2.1.27+dfsg-1+deb10u1 <none>
2020-11-03 23:31:29 status unpacked libsasl2-2:armhf 2.1.27+dfsg-1+deb10u1
2020-11-03 23:31:29 status half-configured libsasl2-2:armhf 2.1.27+dfsg-1+deb10u1
2020-11-03 23:31:29 status installed libsasl2-2:armhf 2.1.27+dfsg-1+deb10u1
2020-11-03 23:31:29 configure gpgv:armhf 2.2.12-1+rpi1+deb10u1 <none>
2020-11-03 23:31:29 status unpacked gpgv:armhf 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:29 status half-configured gpgv:armhf 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:29 status installed gpgv:armhf 2.2.12-1+rpi1+deb10u1
2020-11-03 23:31:29 configure libnl-genl-3-200:armhf 3.4.0-1 <none>
2020-11-03 23:31:29 status unpacked libnl-genl-3-200:armhf 3.4.0-1
2020-11-03 23:31:29 status half-configured libnl-genl-3-200:armhf 3.4.0-1
2020-11-03 23:31:29 status installed libnl-genl-3-200:armhf 3.4.0-1
2020-11-03 23:31:29 configure iw:armhf 5.0.1-1 <none>
2020-11-03 23:31:29 status unpacked iw:armhf 5.0.1-1
2020-11-03 23:31:29 status half-configured iw:armhf 5.0.1-1
2020-11-03 23:31:29 status installed iw:armhf 5.0.1-1
2020-11-03 23:31:29 configure libblkid1:armhf 2.33.1-0.1 <none>
2020-11-03 23:31:29 status unpacked libblkid1:armhf 2.33.1-0.1
2020-11-03 23:31:29 status half-configured libblkid1:armhf 2.33.1-0.1
2020-11-03 23:31:29 status installed libblkid1:armhf 2.33.1-0.1
2020-11-03 23:31:29 configure libstdc++6:armhf 8.3.0-6+rpi1 <none>
2020-11-03 23:31:29 status unpacked libstdc++6:armhf 8.3.0-6+rpi1
2020-11-03 23:31:29 status half-configured libstdc++6:armhf 8.3.0-6+rpi1
2020-11-03 23:31:29 status installed libstdc++6:armhf 8.3.0-6+rpi1
2020-11-03 23:31:29 configure libksba8:armhf 1.3.5-2 <none>
2020-11-03 23:31:29 status unpacked libksba8:armhf 1.3.5-2
2020-11-03 23:31:29 status half-configured libksba8:armhf 1.3.5-2
2020-11-03 23:31:29 status installed libksba8:armhf 1.3.5-2
2020-11-03 23:31:29 configure pinentry-curses:armhf 1.1.0-2 <none>
2020-11-03 23:31:29 status unpacked pinentry-curses:armhf 1.1.0-2
2020-11-03 23:31:29 status half-configured pinentry-curses:armhf 1.1.0-2
2020-11-03 23:31:29 status installed pinentry-curses:armhf 1.1.0-2
2020-11-03 23:31:29 configure libhogweed4:armhf 3.4.1-1 <none>
2020-11-03 23:31:29 status unpacked libhogweed4:armhf 3.4.1-1
2020-11-03 23:31:29 status half-configured libhogweed4:armhf 3.4.1-1
2020-11-03 23:31:29 status installed libhogweed4:armhf 3.4.1-1
2020-11-03 23:31:29 configure libprocps7:armhf 2:3.3.15-2 <none>
2020-11-03 23:31:29 status unpacked libprocps7:armhf 2:3.3.15-2
2020-11-03 23:31:29 status half-configured libprocps7:armhf 2:3.3.15-2
2020-11-03 23:31:29 status installed libprocps7:armhf 2:3.3.15-2
2020-11-03 23:31:29 configure libselinux1:armhf 2.8-1+b1 <none>
2020-11-03 23:31:29 status unpacked libselinux1:armhf 2.8-1+b1
2020-11-03 23:31:29 status half-configured libselinux1:armhf 2.8-1+b1
2020-11-03 23:31:29 status installed libselinux1:armhf 2.8-1+b1
2020-11-03 23:31:29 configure libgnutls30:armhf 3.6.7-4+deb10u5 <none>
2020-11-03 23:31:29 status unpacked libgnutls30:armhf 3.6.7-4+deb10u5
2020-11-03 23:31:29 status half-configured libgnutls30:armhf 3.6.7-4+deb10u5
2020-11-03 23:31:29 status installed libgnutls30:armhf 3.6.7-4+deb10u5
2020-11-03 23:31:29 configure sed:armhf 4.7-1 <none>
2020-11-03 23:31:29 status unpacked sed:armhf 4.7-1
2020-11-03 23:31:29 status half-configured sed:armhf 4.7-1
2020-11-03 23:31:29 status installed sed:armhf 4.7-1
2020-11-03 23:31:29 configure libfdisk1:armhf 2.33.1-0.1 <none>
2020-11-03 23:31:29 status unpacked libfdisk1:armhf 2.33.1-0.1
2020-11-03 23:31:29 status half-configured libfdisk1:armhf 2.33.1-0.1
2020-11-03 23:31:29 status installed libfdisk1:armhf 2.33.1-0.1
2020-11-03 23:31:29 configure libdevmapper1.02.1:armhf 2:1.02.155-3 <none>
2020-11-03 23:31:29 status unpacked libdevmapper1.02.1:armhf 2:1.02.155-3
2020-11-03 23:31:29 status half-configured libdevmapper1.02.1:armhf 2:1.02.155-3
2020-11-03 23:31:30 status installed libdevmapper1.02.1:armhf 2:1.02.155-3
2020-11-03 23:31:30 configure findutils:armhf 4.6.0+git+20190209-2 <none>
2020-11-03 23:31:30 status unpacked findutils:armhf 4.6.0+git+20190209-2
2020-11-03 23:31:30 status half-configured findutils:armhf 4.6.0+git+20190209-2
2020-11-03 23:31:30 status installed findutils:armhf 4.6.0+git+20190209-2
2020-11-03 23:31:30 configure dmsetup:armhf 2:1.02.155-3 <none>
